,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
0,TXN_1961373,coffee,2.0,2.0,4.0,credit card,takeaway,2023-09-08
1,TXN_4977031,cake,4.0,3.0,12.0,cash,in-store,2023-05-16
2,TXN_4271903,cookie,4.0,1.0,4.0,credit card,in-store,2023-07-19
3,TXN_7034554,salad,2.0,5.0,10.0,unknown,unknown,2023-04-27
4,TXN_3160411,coffee,2.0,2.0,4.0,digital wallet,in-store,2023-06-11
5,TXN_2602893,smoothie,5.0,4.0,20.0,credit card,unknown,2023-03-31
6,TXN_4433211,unknown,3.0,3.0,9.0,unknown,takeaway,2023-10-06
7,TXN_6699534,sandwich,4.0,4.0,16.0,cash,unknown,2023-10-28
8,TXN_4717867,unknown,5.0,3.0,15.0,unknown,takeaway,2023-07-28
9,TXN_2064365,sandwich,5.0,4.0,20.0,unknown,in-store,2023-12-31
10,TXN_2548360,salad,5.0,5.0,25.0,cash,takeaway,2023-11-07
12,TXN_7619095,sandwich,2.0,4.0,8.0,cash,in-store,2023-05-03
13,TXN_9437049,cookie,5.0,1.0,5.0,unknown,takeaway,2023-06-01
14,TXN_8915701,unknown,2.0,1.5,3.0,unknown,in-store,2023-03-21
15,TXN_2847255,salad,3.0,5.0,15.0,credit card,in-store,2023-11-15
16,TXN_3765707,sandwich,1.0,4.0,4.0,unknown,unknown,2023-06-10
17,TXN_6769710,juice,2.0,3.0,6.0,cash,in-store,2023-02-24
18,TXN_8876618,cake,5.0,3.0,15.0,cash,unknown,2023-03-25
19,TXN_3709394,juice,4.0,3.0,12.0,cash,takeaway,2023-01-15
20,TXN_3522028,smoothie,5.0,4.0,20.0,cash,in-store,2023-04-04
21,TXN_3567645,smoothie,4.0,4.0,16.0,credit card,takeaway,2023-03-30
22,TXN_5132361,sandwich,3.0,4.0,12.0,digital wallet,takeaway,2023-12-01
23,TXN_2616390,sandwich,2.0,4.0,8.0,unknown,unknown,2023-09-18
24,TXN_9400181,sandwich,5.0,4.0,20.0,cash,in-store,2023-06-03
25,TXN_7958992,smoothie,3.0,4.0,12.0,unknown,unknown,2023-12-13
26,TXN_5183041,cookie,5.0,1.0,5.0,credit card,in-store,2023-04-20
27,TXN_5695074,juice,4.0,3.0,12.0,credit card,takeaway,2023-04-10
28,TXN_8467949,smoothie,5.0,4.0,20.0,credit card,unknown,2023-03-11
30,TXN_1736287,unknown,5.0,2.0,10.0,digital wallet,unknown,2023-06-02
31,TXN_8927252,unknown,2.0,1.0,2.0,credit card,unknown,2023-11-06
32,TXN_9677376,smoothie,4.0,4.0,16.0,unknown,in-store,2023-08-15
34,TXN_8853997,smoothie,2.0,4.0,8.0,digital wallet,takeaway,2023-10-09
35,TXN_9130559,sandwich,1.0,4.0,4.0,credit card,unknown,2023-05-28
36,TXN_6855453,unknown,4.0,3.0,12.0,unknown,in-store,2023-07-17
37,TXN_1080432,salad,2.0,5.0,10.0,credit card,in-store,2023-04-29
38,TXN_2655815,smoothie,4.0,4.0,16.0,unknown,takeaway,2023-06-08
39,TXN_6688524,coffee,4.0,2.0,8.0,unknown,unknown,2023-06-29
40,TXN_2083138,smoothie,3.0,4.0,12.0,unknown,in-store,2023-04-17
41,TXN_2427584,sandwich,4.0,4.0,16.0,unknown,takeaway,2023-12-22
42,TXN_6650263,tea,2.0,1.5,3.0,unknown,takeaway,2023-01-10
43,TXN_9620080,juice,4.0,3.0,12.0,unknown,takeaway,2023-10-02
44,TXN_1491578,cookie,2.0,1.0,2.0,unknown,unknown,2023-02-23
45,TXN_5455792,salad,3.0,5.0,15.0,cash,unknown,2023-03-22
46,TXN_8078640,juice,4.0,3.0,12.0,digital wallet,in-store,2023-11-03
47,TXN_9499313,juice,5.0,3.0,15.0,unknown,unknown,2023-03-02
48,TXN_8201146,juice,5.0,3.0,15.0,cash,unknown,2023-06-26
49,TXN_8230936,cake,3.0,3.0,9.0,unknown,unknown,2023-05-02
50,TXN_7742742,cake,5.0,3.0,15.0,unknown,takeaway,2023-09-05
51,TXN_6342161,salad,5.0,5.0,25.0,unknown,takeaway,2023-01-08
52,TXN_8914892,unknown,5.0,5.0,25.0,digital wallet,unknown,2023-03-15
53,TXN_3363746,smoothie,3.0,4.0,12.0,credit card,unknown,2023-11-25
54,TXN_8614868,smoothie,5.0,4.0,20.0,digital wallet,takeaway,2023-12-05
55,TXN_5522862,cookie,2.0,1.0,2.0,credit card,takeaway,2023-03-19
56,TXN_3578141,cake,5.0,3.0,15.0,unknown,takeaway,2023-06-27
57,TXN_2080895,cake,1.0,3.0,3.0,digital wallet,in-store,2023-04-19
58,TXN_6421134,sandwich,4.0,4.0,16.0,cash,takeaway,2023-11-03
59,TXN_8813311,juice,5.0,3.0,15.0,unknown,in-store,2023-10-07
60,TXN_9023317,salad,1.0,5.0,5.0,unknown,unknown,2023-09-30
61,TXN_8051289,unknown,1.0,3.0,3.0,unknown,in-store,2023-10-09
62,TXN_2537617,sandwich,1.0,4.0,4.0,cash,unknown,2023-05-27
63,TXN_9099694,unknown,3.0,5.0,15.0,unknown,takeaway,2023-11-18
64,TXN_9230615,smoothie,4.0,4.0,16.0,digital wallet,unknown,2023-06-01
65,TXN_4987129,sandwich,3.0,4.0,12.0,unknown,in-store,2023-10-20
66,TXN_8501819,juice,2.0,3.0,6.0,cash,unknown,2023-03-30
67,TXN_3068204,cookie,1.0,1.0,1.0,credit card,takeaway,2023-10-03
68,TXN_8427104,salad,2.0,5.0,10.0,unknown,in-store,2023-10-27
69,TXN_8471743,unknown,5.0,3.0,15.0,digital wallet,in-store,2023-04-06
70,TXN_2621580,tea,2.0,1.5,3.0,cash,in-store,2023-03-22
71,TXN_4726376,cake,2.0,3.0,6.0,credit card,in-store,2023-01-31
72,TXN_6044979,unknown,1.0,1.0,1.0,cash,in-store,2023-12-08
73,TXN_4238417,salad,2.0,5.0,10.0,unknown,unknown,2023-06-19
74,TXN_1900620,smoothie,2.0,4.0,8.0,credit card,unknown,2023-12-14
75,TXN_6420335,coffee,1.0,2.0,2.0,cash,takeaway,2023-07-16
76,TXN_3858209,sandwich,4.0,4.0,16.0,cash,unknown,2023-02-22
78,TXN_8735480,tea,5.0,1.5,7.5,cash,unknown,2023-06-02
79,TXN_3829165,juice,4.0,3.0,12.0,cash,in-store,2023-06-15
80,TXN_3748616,coffee,2.0,2.0,4.0,credit card,in-store,2023-12-09
81,TXN_1993289,sandwich,2.0,4.0,8.0,unknown,in-store,2023-04-18
82,TXN_2123367,cookie,2.0,1.0,2.0,unknown,unknown,2023-11-07
83,TXN_5266394,cake,3.0,3.0,9.0,cash,in-store,2023-10-28
84,TXN_5107946,cake,4.0,3.0,12.0,credit card,unknown,2023-12-22
85,TXN_8035512,tea,3.0,1.5,4.5,cash,unknown,2023-10-29
86,TXN_8718498,cake,5.0,3.0,15.0,credit card,unknown,2023-04-30
87,TXN_3955361,cookie,5.0,1.0,5.0,unknown,takeaway,2023-04-02
88,TXN_9487821,unknown,1.0,5.0,5.0,digital wallet,takeaway,2023-05-24
89,TXN_4132730,unknown,5.0,1.0,5.0,unknown,in-store,2023-03-12
